"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Acly",1.7868590944828e-137,2.23966321587224,0.969,0.488,4.12442816188519e-133,"Acly"
"Acaca",7.97769404285619e-126,1.23352381989609,1,0.986,1.84141133897207e-121,"Acaca"
"Ttc25",6.58443637061214e-97,2.97911726160896,0.557,0.109,1.51981960306469e-92,"Ttc25"
"Aacs",1.66271726860495e-90,1.70657033994439,0.904,0.438,3.83788399939394e-86,"Aacs"
"Fasn",1.24509290811957e-88,1.44025605165256,0.951,0.657,2.87392345052159e-84,"Fasn"
"Fam13a",1.46323832012148e-84,1.20702714316578,0.997,0.915,3.3774466905044e-80,"Fam13a"
"Pygl",1.29872741128939e-68,1.4504522455873,0.898,0.539,2.99772261073818e-64,"Pygl"
"Pnpla3",1.11577561018181e-63,1.4270007197003,0.893,0.582,2.57543326342166e-59,"Pnpla3"
"Nr4a1",9.56894595157681e-57,-2.99106974099565,0.195,0.609,2.20870410454296e-52,"Nr4a1"
"Acsl1",5.12841064972273e-56,-0.723086266651834,0.995,0.997,1.183739746169e-51,"Acsl1"
"Adipor2",2.71541511829622e-54,0.490404649066674,1,0.999,6.26772117605133e-50,"Adipor2"
"Gk",4.99602371954208e-54,-0.87340229946158,0.977,0.993,1.1531821949447e-49,"Gk"
"Adcy3",1.47621287905468e-52,-1.50290724204228,0.612,0.834,3.40739456743401e-48,"Adcy3"
"Ank",1.87144513110108e-51,1.15282640330561,0.888,0.627,4.3196696516075e-47,"Ank"
"Gnas",3.62830367551777e-51,-1.15010855531523,0.932,0.968,8.37485054383012e-47,"Gnas"
"Ucp1",9.3023506616948e-48,-0.960266637394395,0.88,0.954,2.14716857973239e-43,"Ucp1"
"Mapkapk2",8.81280824068116e-46,-1.67586083395094,0.445,0.725,2.03417239811402e-41,"Mapkapk2"
"Irs2",7.84777852647881e-45,-2.71537153113994,0.146,0.531,1.81142423948184e-40,"Irs2"
"Thrsp",2.00200498018972e-42,0.857587250522879,0.938,0.718,4.6210278952739e-38,"Thrsp"
"Noct",4.99169070278637e-41,-1.28552386195653,0.635,0.817,1.15218204801715e-36,"Noct"
"Gbe1",1.68965428022904e-40,0.574391429299427,0.992,0.969,3.90006000962467e-36,"Gbe1"
"Snrk",1.71783084898854e-40,-1.13166220869295,0.74,0.877,3.96509716563534e-36,"Snrk"
"Ppp1r3b",6.75340005599848e-40,1.03421019517858,0.867,0.589,1.55881980092557e-35,"Ppp1r3b"
"Tkt",8.54105488751144e-40,0.748291865789379,0.984,0.905,1.97144628913539e-35,"Tkt"
"Pde4d",3.19106475319538e-38,-0.60897560249825,0.99,0.996,7.36561566332558e-34,"Pde4d"
"Mlxipl",3.3830800418152e-38,0.585851727709574,1,0.965,7.80882535251784e-34,"Mlxipl"
"Pck1",5.18190131111891e-38,-0.83387098430534,0.898,0.96,1.19608646063247e-33,"Pck1"
"Lpl",5.43534104157696e-38,-0.620417873391418,0.997,0.996,1.25458541921679e-33,"Lpl"
"Dusp10",7.52826707924624e-38,-2.06895646639465,0.315,0.604,1.73767460723162e-33,"Dusp10"
"BB365896",2.21959226581889e-37,1.47364352956959,0.576,0.262,5.12326286796315e-33,"BB365896"
"Ppargc1a",1.02574503459387e-34,-1.00459253202101,0.94,0.968,2.36762468884956e-30,"Ppargc1a"
"Tmem120b",1.96264106712147e-34,1.04658732101761,0.807,0.541,4.53016811112977e-30,"Tmem120b"
"Pik3r1",1.20897357448436e-33,0.800175980656966,0.943,0.784,2.7905528046248e-29,"Pik3r1"
"Acacb",3.15227559730687e-32,0.389838721383083,0.997,0.999,7.27608253370371e-28,"Acacb"
"Sik1",3.96828839374099e-32,-2.40869447324824,0.154,0.459,9.15960327043295e-28,"Sik1"
